username,business_category_name,follower_count,following_count,is_verified,is_private,highlight_reel_count,external_url,media_count,likes_average_count,comments_average_count
josie.raza,,1178,722,False,True,0,,13,0,0
veraaj10,,497,1085,False,True,0,,18,0,0
anatoolreetly,,77,69,False,True,0,https://www.youtube.com/watch?v=dfhmPdCNRb8,123,0,0
carolinebeckpetersen,,685,663,False,True,0,,85,0,0
avantikadutt,,755,729,False,True,0,,12,0,0
sarazawoman,,92,333,False,True,0,http://instagram.com/sara.zaman73,135,0,0
antonvg29,,1484,1337,False,True,0,,61,0,0
kevin.shi12,,510,1129,False,True,0,,17,0,0
tamara_unsworth,,811,1037,False,True,0,https://bit.ly/2RK8wXF,32,0,0
angelachea,,895,789,False,True,0,http://vsco.co/angelachea,14,0,0
soph.gonzalez,,766,707,False,True,0,,20,0,0
liinndaa_xai,,428,439,False,True,0,,26,0,0
steph462,,529,558,False,True,0,,48,0,0
fligles,,457,718,False,True,0,,5,0,0
faith.yyoung,,488,527,False,True,0,http://vsco.co/faithyyoung,6,0,0
tchsxy,,61,63,False,True,0,http://taichikato.com/,39,0,0
__varunshah__,,1024,914,False,True,0,,2,0,0
david.leaskk,,142,148,False,True,0,,5,0,0
anahithachandra,,859,1925,False,True,0,,6,0,0
nskweber,,663,654,False,True,0,,3,0,0
radhika.stava,,876,905,False,True,0,https://vsco.co/radhikastava,45,0,0
_sidroy,,713,685,False,True,0,,33,0,0
alinaahmadd,,1016,945,False,True,0,https://vsco.co/allliinnaaa,72,0,0
sinclair.bordier,,627,681,False,True,0,,18,0,0
polen_ton,,555,840,False,True,0,,16,0,0
laura_shang0123,,516,833,False,True,0,,79,0,0
nick_jongkind,Non-Profits & Religious Organizations,796,789,False,False,2,,2,299.5,17.0
georgebarkham,,1013,1003,False,True,0,,10,0,0
josephinexco,,606,820,False,True,0,,39,0,0
hiladavies,Creators & Celebrities,853,758,False,False,9,https://www.meadowprospect.com/single-post/2019/02/04/A-Week-In-Outfits-Winter-2018,310,271.25,18.75
francescaamoline,,687,675,False,True,0,,41,0,0
axelroylee,,1049,1063,False,True,0,,25,0,0
elena.zj,,628,517,False,True,0,,68,0,0
j_oshua_c,,177,281,False,True,0,,9,0,0
aditya.gpta,,440,508,False,True,0,,3,0,0
mokshsrinivas,,230,653,False,True,0,,6,0,0
masmomiyakawa,,1171,973,False,True,0,,5,0,0
z.w.v.h,,175,424,False,False,2,http://sundaylens.com/,72,82.83333333333333,4.5
realmnation,,13826,5389,False,False,0,http://www.realmnation.com/,396,945.1666666666666,26.75
kalebshmaleb_,,469,615,False,True,0,,168,0,0
drorscach,,53,235,False,True,0,,0,0,0
therealskyelockhart,,147,391,False,True,0,,78,0,0
kobeposts_24,,141,386,False,False,0,,11,19.0,0.36363636363636365
relocatemelbourne,Home Services,493,2297,False,False,0,https://www.relocate-melbourne.com/,73,40.25,1.75
shotzofuwc,,202,13,False,False,0,http://www.uwcsea.edu.sg/,45,93.25,2.1666666666666665
eom0720,,607,352,False,True,0,,20,0,0
ellennives,,834,672,False,True,0,,79,0,0
_jjwn0903_,,297,447,False,True,0,,8,0,0
max_v_d_s,,317,534,False,True,0,http://www.genericwebsite.com/,0,0,0
os_ollieee,,189,343,False,False,0,,1,89.0,6.0
k4zuki,Creators & Celebrities,1073,627,False,False,10,,115,171.66666666666666,5.583333333333333
jackmhope,,766,754,False,True,0,http://instagram.com/yumakuijntjes,74,0,0
rachyxm,,456,920,False,True,0,,38,0,0
jacinta.ghirardello,,621,745,False,True,0,http://instagram.com/hannahlewnes,54,0,0
rafael.j.v,,597,543,False,True,0,,23,0,0
sebcannizzo,,946,811,False,True,0,http://instagram.com/adamdjerf,49,0,0
sophia.murga,,484,932,False,True,0,https://instagram.com/phi.tography14,27,0,0
caitlin.moor,,993,905,False,True,0,,31,0,0
mollypolly101,,149,206,False,True,0,http://instagram.com/reeve.molly,35,0,0
khushjammu,,424,514,False,True,0,,22,0,0
anyakoo,,871,983,False,True,0,,191,0,0
follow_k4zuki,,123,202,False,False,0,https://www.instagram.com/k4zuki,0,0,0
caitlin_gill_,,1107,873,False,True,0,,43,0,0
kentakido,,661,654,False,True,0,,12,0,0
jackieshenyi,,1222,1196,False,True,0,,47,0,0
tanya.atal,,538,559,False,True,0,,3,0,0
diya_kraybill,,873,702,False,True,0,http://instagram.com/hopewalto,29,0,0
mikatan_,,631,604,False,False,8,,20,215.0,24.916666666666668
adimehta9,,601,693,False,True,0,,50,0,0
fifiwentzel,,1032,1087,False,True,0,,21,0,0
khush.photos,Creators & Celebrities,272,244,False,False,0,,9,136.11111111111111,12.11111111111111
xavierr.see,Home Goods Stores,718,542,False,False,2,https://instagram.com/trappygoyard?utm_source=ig_profile_share&igshid=1gr1gmxmqv390,86,216.33333333333334,5.0
rhiannon.durant,,795,740,False,True,0,https://edition.cnn.com/2018/08/04/world/climate-change-deadly-summer-wxc-intl/index.html,36,0,0
meganjj27,,309,516,False,True,0,,0,0,0
miaakann,,753,734,False,True,0,,40,0,0
hamza.c.jan,,310,454,False,True,0,,0,0,0
harrison__unstead,General Interest,645,1334,False,False,0,,75,164.83333333333334,6.583333333333333
tarabhandari,,1177,933,False,True,0,http://vsco.co/tarabhandari,75,0,0
ryusuke1995,,44,99,False,False,0,,667,6.416666666666667,0.0
dylantan_22,,1110,962,False,True,0,,17,0,0
lookingthrualens,Local Events,62,88,False,False,0,http://instagram.com/nicopetersik,8,30.875,2.875
vnh_reem,Creators & Celebrities,2085,5903,False,False,30,https://www.lipsiapp.com/vnh-reem,33,166.41666666666666,10.083333333333334
sid.goyal15,,407,1449,False,True,0,,41,0,0
seemstore,Personal Goods & General Merchandise Stores,3624,3348,False,False,8,https://kufed.com/shop/designers/1000066/seem,207,31.25,2.6666666666666665
jack.photography01,,107,161,False,True,0,,17,0,0
bestsports_acc,,236,728,False,False,0,,14,12.0,0.5833333333333334
itsjhalel,Creators & Celebrities,785,3712,False,False,5,https://www.lipsiapp.com/iam-jhalel,2,385.0,0.5
valentina1nyari,,1095,1603,False,False,0,,122,63.083333333333336,4.25
lucas.siemsen,,308,976,False,True,0,,9,0,0
bballitemssale,Local Events,1003,5067,False,False,0,http://carousell.com/cuteyass,161,20.833333333333332,0.0
j.die28,,550,767,False,True,0,,9,0,0
jaewonxlee,,390,324,False,True,0,,19,0,0
heatherthehermitcrab,,194,247,False,True,0,https://youtu.be/U_5wSWUAmyY,222,0,0
prarthanaa.s,,723,570,False,True,0,,5,0,0
selmatogersen,,1006,752,False,True,0,http://mishato.com/,13,0,0
aryamadann,,598,681,False,True,0,,21,0,0
shlokkaul,,1124,1775,False,True,0,,5,0,0
hopewalto,,1059,956,False,True,0,http://instagram.com/diya_kraybill,13,0,0
nanaki.singh,,1476,1064,False,True,0,,49,0,0
bennnnnn_b17,,313,2684,False,True,0,,27,0,0
adi_vallabh,,513,751,False,True,0,,8,0,0
a.man.da_yeoh,,895,1212,False,True,0,,14,0,0
tamtoro8,,539,642,False,True,0,,62,0,0
luckykicks77,,1120,3742,False,False,0,,115,50.666666666666664,0.8333333333333334
johnyoo16,,745,699,False,True,0,,6,0,0
justdjerf,,22,278,False,True,0,,46,0,0
kfinkee,,1459,1068,False,True,0,,65,0,0
izofie,,1009,907,False,True,0,,58,0,0
ethan.borden,,493,453,False,True,0,,2,0,0
ciaranodon,General Interest,703,623,False,False,0,,15,256.0,14.166666666666666
virbanta,,1155,629,False,True,0,,22,0,0
sebwong_,,505,591,False,True,0,,11,0,0
nandiniraii,,4509,703,False,False,1,https://open.spotify.com/album/621HNOPix0teQiSngbWXpJ?si=jk0tHWGcQqyXkTRV-kds7g,9,278.0,30.11111111111111
lxt.s,,1552,7374,False,True,0,,35,0,0
nishartaaa.priv,,167,275,False,True,0,,75,0,0
welcome2_park,,131,158,False,True,0,,137,0,0
ja.c10,,275,856,False,True,0,,12,0,0
pietrocannizzo,,1017,917,False,True,0,,14,0,0
rjoshiii,,589,644,False,True,0,,14,0,0
ivorteagle,,803,798,False,True,0,http://instagram.com/jackradforddd,8,0,0
eomminsik2552,,7,21,False,False,0,,0,0,0
krishmehta_,,487,495,False,True,0,,2,0,0
ninahuang14,,581,467,False,True,0,,20,0,0
varun_nagpal_3,,605,933,False,True,0,,108,0,0
668redterror2jk,,6,236,False,False,0,,0,0,0
rhiannacowdy,,694,781,False,True,0,,150,0,0
sidpunshi,,783,790,False,True,0,,1,0,0
reeve.molly,,766,536,False,True,0,,23,0,0
roshotant,,475,2182,False,False,0,,37,8.083333333333334,0.3333333333333333
sara.zaman73,,944,949,False,True,0,,16,0,0
ashhhhari.priv,,111,167,False,True,0,,54,0,0
fervify_science,,3376,6472,False,False,0,http://fervify.com/science,45,95.66666666666667,1.8333333333333333
manuelabencivengo,,1060,1049,False,True,0,,6,0,0
flooo.priv,,78,74,False,True,0,,33,0,0
anushka.herondale,,75,700,False,True,0,http://www.instagram.com/lahhiri,785,0,0
moment.001,,284,1042,False,False,0,,42,22.916666666666668,0.5833333333333334
_____park_____,,778,844,False,True,0,http://proformbasketball.com/,5,0,0
siraashootout,,78,371,False,False,0,,1,47.0,1.0
stewiewoodz,,306,582,False,True,0,,8,0,0
scholarbasketball,Creators & Celebrities,4787,1525,False,False,6,https://www.youtube.com/watch?v=VPXs1xZdnW4&feature=youtu.be,404,100.5,0.08333333333333333
ailaivia,General Interest,382,672,False,False,0,,165,32.0,1.1666666666666667
clairejanssenn,,1918,1423,False,True,0,http://instagram.com/frankimarshall,11,0,0
alishastead,General Interest,12290,5522,False,False,35,,0,0,0
abrosimov5884,,1520,6406,False,False,0,,1,262.0,4.0
liamfeldheim,,731,634,False,True,0,,15,0,0
dre_annn,,960,774,False,True,0,,19,0,0
jeromehelbling,,698,1893,False,True,0,,8,0,0
whotheeffisnads,,228,294,False,True,0,http://instagram.com/n.adss,263,0,0
j.o.s.h.raj,,722,746,False,False,0,,4,110.25,7.0
ashbombed,,136,188,False,True,0,http://vsco.com/ashbombs,227,0,0
devsanghi05,,362,665,False,True,0,,0,0,0
nicolassilon,,594,743,False,True,0,,12,0,0
mason_okun,,469,431,False,True,0,,26,0,0
taichikato,,510,527,False,True,0,http://taichikato.com/,7,0,0
tomoko.miyakoshi,,514,572,False,True,0,,143,0,0
ryanchong0,,92,180,False,False,0,,2,25.0,0.5
anushka__ray,,343,315,False,True,0,,10,0,0
teundebok,,458,434,False,True,0,,8,0,0
aditya_kakarla,,509,878,False,True,0,,1,0,0
efaarchitect,Home Services,209,303,False,False,0,http://www.longbeacharchitect.com/,62,24.666666666666668,1.0
laxty4lyfe,,123,266,False,True,0,http://instagram.com/jocelynlaxton,37,0,0
ihrkim,,242,266,False,True,0,,5,0,0
olitho1,,2318,1196,False,True,0,,0,0,0
tanakayodai,,388,1528,False,True,0,,3,0,0
lidya_natalia_s,,1481,7494,False,False,0,,111,62.583333333333336,3.5833333333333335
tnua_composers103,,111,1528,False,False,0,,21,144.08333333333334,4.083333333333333
tektoday,,149,2406,False,False,0,http://www.tek-today.com/,9,99.77777777777777,3.6666666666666665
aileenbmalco,,1044,7464,False,False,8,,113,98.41666666666667,5.5
themuscalgang,,110,86,False,True,0,http://adi.arthur.dong.lucas.nat/,17,0,0
adventure_junkies,,796,2055,False,False,0,,77,289.5833333333333,11.166666666666666
dallasclanton81,,648,7496,False,False,0,,425,29.166666666666668,1.0833333333333333
manuelekphoto,,369,2537,False,False,0,https://www.facebook.com/groups/208394922639134/,1000,57.583333333333336,4.25
albayati201067,,653,6743,False,True,0,,288,0,0
indianteacompany,,357,6788,False,False,0,http://www.indianteacompany.com/,50,89.25,5.0
simmonds_photos2,,512,5403,False,False,0,,2,170.5,10.0
bakitat915,,525,2210,False,True,0,,47,0,0
modi_almuhajir,,121,1247,False,True,0,,164,0,0
dewi.kalis,,324,453,False,True,0,,0,0,0
bella_ghersi27,,645,803,False,True,0,,105,0,0
rohan.punamiya,,292,334,False,True,0,,3,0,0
kimdorrucci,,942,1093,False,True,0,,11,0,0
alicee_photographs,,1196,6725,False,False,0,,6,667.6666666666666,23.0
harry_gonz,,854,953,False,True,0,http://hqdorner.com/,12,0,0
hanmin.322,,473,547,False,True,0,,2,0,0
suppandisingh,Publishers,209,235,False,False,0,http://www.ragdeshfromit.com/,7,57.42857142857143,8.714285714285714
abhijay.a,,384,600,False,True,0,,1,0,0
anushri.s,,675,546,False,True,0,,19,0,0
gaiafreydefont,,750,544,False,True,0,,19,0,0
kaileyrossxx,,1371,1396,False,True,0,,11,0,0
ifreshrepair,,861,3087,False,False,0,,21,35.0,1.0
elliotck,,721,454,False,True,0,,29,0,0
alvarez_bermudez_vicente,,518,3770,False,True,0,,1897,0,0
iphone_case_joy,,2050,3513,False,False,0,,212,79.5,1.8333333333333333
instaaaaaaaa88,,9,78,False,False,0,,3,4.0,0.0
brandon2130_,,1869,6715,False,False,0,,4,169.5,1.25
letrevyon,,829,3970,False,True,0,,2,0,0
bradleypooler,,540,1096,False,False,1,,1361,55.666666666666664,2.8333333333333335
nnetideatur1986,,203,6323,False,False,0,,5,85.4,1.8
cumprottrapho1981,,170,6330,False,False,0,,5,88.2,1.0
homarsiopu1979,,198,6322,False,False,0,,5,103.2,1.2
artitheaket1987,,172,6295,False,False,0,,5,79.2,0.8
yldamacon1978,,185,6290,False,False,0,,4,87.25,2.25
waipaslire1978,,198,6330,False,False,0,,5,78.4,1.2
highpadasvi1971,,183,6320,False,False,0,,5,92.4,0.4
joann.rheault,,226,6279,False,False,0,,8,85.0,1.125
drivsendcoka1971,,195,6264,False,False,0,,5,94.2,0.8
nathanneeley,,219,6236,False,False,0,,5,100.2,1.0
gericino1983,,216,6323,False,False,0,,5,94.2,1.6
subhauxagla1971,,209,6295,False,False,0,,5,85.0,1.8
vibisifi1981,,235,6341,False,False,0,,5,85.2,0.8
jujuan_islas,,207,6384,False,False,0,,10,55.7,1.2
handrolnaewach1980,,210,6313,False,False,0,,5,86.6,2.0
tincscoutompam1981,,217,6647,False,False,0,,5,101.4,1.2
manringbarli1986,,196,6341,False,False,0,,5,84.6,1.6
maryln__deedee,,197,6262,False,False,0,,0,0,0
neerageedh,,217,6317,False,False,0,,5,87.6,0.8
breditxili1981,,190,6237,False,False,0,,5,77.2,1.2
siogheteatantan,,198,6647,False,False,0,,5,107.4,2.2
jugadasdefifa,,100,213,False,False,0,,3,39.0,2.0
rpathania10,,445,453,False,True,0,,16,0,0
tori.david,,492,420,False,True,0,,46,0,0
lahhiri,,975,856,False,True,0,http://www.voicefortheplanet.org/,478,0,0
s3bby_lao,Creators & Celebrities,485,885,False,False,0,https://soundcloud.com/s3bby_la0/a-lofi-ish-christmas,35,124.25,2.5
alessandro.somebody,,225,348,False,True,0,,10,0,0
ferna8533,,437,1202,False,True,0,,11,0,0
chazbaldwin19,,360,306,False,True,0,,3,0,0
lenniepooh22,,448,2148,False,False,0,,2,84.0,0.0
almighty_punxho_,,1193,2789,False,False,0,,34,26.916666666666668,2.5
sorasoap.store,,717,2371,False,False,0,http://line.me/ti/p/Dw5AXkPVbq,424,18.166666666666668,0.3333333333333333
abdulrehman_k21,,298,1151,False,True,0,,10,0,0
zul_azmi62,,268,891,False,True,0,,117,0,0
shoegamekid305,,116,748,False,False,0,,67,36.916666666666664,0.4166666666666667
yaxeni_,,967,1698,False,True,0,,222,0,0
32shots_sed,,2329,2620,False,False,0,http://icanfuckyourbitch.net/,12,43.083333333333336,4.833333333333333
infamousdino1,,347,1430,False,True,0,,454,0,0
rawafzs,,164,4349,False,False,0,,0,0,0
msait_al_shmre,,526,3282,False,True,0,http://instgraem.com/a.m.alg_50,152,0,0
alexnanni,,1215,744,False,False,1,https://vsco.co/alexnanni,76,283.4166666666667,4.916666666666667
ronanmulligann,,271,299,False,True,0,,2,0,0
cashmoney082,,101,1748,False,False,0,,39,13.416666666666666,0.16666666666666666
ice_cold100,,40,840,False,False,0,,0,0,0
meastanley,,1038,1289,False,True,0,,51,0,0
manuela_bencivengo,,430,592,False,True,0,,4,0,0
timmylim88,Creators & Celebrities,628,1120,False,False,0,http://timothylim.org/,151,129.83333333333334,6.5
carrieqshi,,954,912,False,True,0,http://www.instagram.com/aya.tamaki,6,0,0
digglegeorge,,616,962,False,True,0,,14,0,0
remindertoyourself,,20,78,False,True,0,,0,0,0
bangimbelxx,,882,2096,False,True,0,,141,0,0
lucas.sy,,347,463,False,True,0,,5,0,0
maia.woolrich,,593,893,False,True,0,,258,0,0
maja_werner,,771,628,False,False,4,,38,254.91666666666666,39.083333333333336
kimstephmj,,407,656,False,True,0,,42,0,0
sueda.cobaj,,345,1880,False,True,0,,0,0,0
mendush_55,,137,5111,False,False,0,,0,0,0
instacf3,,792,6539,False,True,0,,15,0,0
tampi030,,569,7328,False,False,0,,0,0,0
brenda_lopezlove,,229,6230,False,False,0,,0,0,0
bruh.26,,579,1555,False,False,0,,4,146.0,1.5
nsher200k,,126,182,False,False,0,,6,18.666666666666668,3.1666666666666665
ludobakker13,,637,4019,False,False,0,,15,101.16666666666667,2.25
officiallylittlemixed,,255,5829,False,False,0,,0,0,0
panama_makeup507,,144,4147,False,True,0,,3,0,0
thomas_kelder,,152,148,False,True,0,,2,0,0
ethan.furner,,933,907,False,False,4,https://vsco.co/ethanjb2002,19,191.08333333333334,11.083333333333334
audreyydumas,,1043,922,False,True,0,,57,0,0
timrzesacz,,393,397,False,True,0,https://soundcloud.com/timrzesacz,16,0,0
anisha_kaul,,499,522,False,True,0,,3,0,0
elias_ter_haar,,793,619,False,False,0,,15,186.0,18.833333333333332
i.p1,,488,938,False,False,0,,6,100.83333333333333,2.6666666666666665
sach_khanna,,287,815,False,False,0,,54,59.416666666666664,1.3333333333333333
willbruhn1,,962,895,False,True,0,,31,0,0
jtyjaaaaa,,1494,3699,False,True,0,,4,0,0
nina.mcadoo,,543,589,False,True,0,,134,0,0
haristhegeeza,,392,898,False,True,0,,2,0,0
j3.kim,,537,593,False,False,2,,26,131.41666666666666,6.25
_potter.granger.weasley_,,117,152,False,True,0,,101,0,0
julian.schulz,,743,621,False,True,0,,4,0,0
lara_bencivengo,,1533,996,False,True,0,http://instagram.com/fleur_stolkx,39,0,0
jinsoon_illustration,,580,2818,False,False,0,http://www.facebook.com/yim.jinsoon,367,43.666666666666664,0.75
iamnotajackass,,146,262,False,True,0,,20,0,0
i_think_so2001,,1055,4459,False,False,0,,0,0,0
arthurbond7,,666,888,False,True,0,,22,0,0
best.of.famous,,254,1209,False,True,0,,4,0,0
shaunrayy,,276,268,False,True,0,,2,0,0
kobe_bryant_fans_page,,286,537,False,False,0,,115,32.583333333333336,0.6666666666666666
maggie.rampichini,,845,747,False,True,0,,49,0,0
patatastomate2,,3,33,False,True,0,,0,0,0
ellie_carter678,,18,59,False,True,0,,5,0,0
nickthorton__,,93,337,False,False,0,,0,0,0
betterthingstodo1111,,194,526,False,False,0,,0,0,0
chrkk_,,501,509,False,True,0,https://instagram.com/epiphany.uwc,30,0,0
sunath123,,266,237,False,True,0,,8,0,0
maximilianclausius,,942,473,False,False,0,http://instagram.com/swish41,25,319.5833333333333,14.25
decimatedxskull,,25,50,False,True,0,,1,0,0
vincent.koster,,466,706,False,True,0,,6,0,0
jmcvanaller,Grocery & Convenience Stores,747,963,False,False,0,,6,279.3333333333333,80.0
foxie_maeischa,,393,381,False,True,0,,244,0,0
noel_monnerat,,783,775,False,False,0,https://noelj.ch/,88,154.33333333333334,2.25
michaelajoness,Local Events,892,1195,False,False,1,,30,227.08333333333334,20.666666666666668
aleariken,,920,1099,False,True,0,,23,0,0
yaohsu10,,543,449,False,False,0,,5,204.2,5.6
jonas.wetselaar,,460,524,False,True,0,,9,0,0
celebavatar,,0,1,False,False,0,,1,0.0,0.0
fleur_stolkx,,1558,898,False,True,0,http://instagram.com/lara_bencivengo,43,0,0
nbanothingbutnet,,5155,6526,False,False,0,,2,90.0,25.5
1989_swiftie13,,200,380,False,False,0,http://www.taylorswift.com/,32,30.666666666666668,1.4166666666666667
